,success
fms-hauppauge,0
h-art-wpp,1
shoefitr,1
super-derivatives,1
guocool-com,0
daniel-s-jewelers,0
fio,0
rifftrax,0
octasic,0
akatsuki-3,0
agilone,0
aragon-pharmaceuticals,1
voicetrust,0
peerpong,0
nova-specialty-hospitals,0
dwellgreen,0
prolify,0
helmi-technologies,0
lytx-inc,1
tut-systems,0
nanopowers,0
whitelight-systems,1
labcyte,0
egghead-interactive,0
agile-media-network,0
clearviewaudio,0
uprizer-labs,1
stratavia,1
creative-realities,0
dreambox-learning,1
climpact,0
entropic,1
eaton,1
e-merges-com,0
multibind-biotec,0
the-receivables-exchange,1
baixing-com-2,1
traffiq,1
monaco-telematique,0
huddlebuy,0
kormeli,0
new-media-gateway,1
brocade-communications-systems,1
5to1,1
gemino-healthcare-finance,0
lgdb-com,0
cardica,1
bivio,1
panda-security,0
sema-software,0
mygreek,0
in-store-media-company,0
pictarine,0
omnilytics,0
netmotion-wireless,1
c4m,0
anaplan,0
genaudio,1
apex-therapeutics,0
creativ,1
azalea-health,0
slideshare,1
nowpublic,1
bill-com,1
kaiser-permanente,0
fibroblast,0
human-factor-analytics-inc,0
trialbee,0
amarin,1
reach-influence,0
brands4friends,1
pocared-diagnostics-ltd,0
fungoplay,1
caralon-global,0
brickleys-property-solutions,0
pageflakes,1
amberwave-systems,0
videoplaza,1
codemasters,0
empact-interactive-media-inc,0
kongzhong,1
anthera-pharmaceuticals,1
cambridge-heart,1
rezora,0
docusign,1
ubigrate,0
trackway,0
mindframe-inc,0
digital-path,0
aponia-laboratories,1
crossbar,0
median-technologies,1
bam-labs,1
diveling,0
trueex,1
tikl,0
linestream-technologies,0
condogala,0
insync-2,0
nurture-inc,0
beacon-power,1
kupivip,1
real-food-real-kitchens,0
sterraclimb-llc,0
july-systems,1
appmobi,0
1stdibs,1
code71,0
respiratory-motion,1
icreate-software,0
bestsecret-com,0
nextera,0
taomee,1
ozone-media-solutions,0
apontador,0
location-based-technologies,1
arista-power,1
licketyship,0
open-mobile-solutions,0
myalert,1
go-net-systems,1
tnc,1
finsphere,1
robotdough-software,0
pingg,1
ethicsgame,0
ugenius-technology,0
cheyipai,1
allbusiness-com,0
thubrikar-aortic-valve,0
social-solutions,1
alta-devices,1
hatteras-networks,1
sensory-medical,0
immigreat-now-llc,0
autognomics,0
yourpov-tv,0
iroko-pharmaceuticals,0
firehost,0
credit-karma,1
onehub,1
evolv-on-demand,1
glammedia,1
qinec,0
deskwanted,0
cadre-technologies,0
access-closure,1
naabo,0
precisionlender,0
clarus-systems,1
mesolight-llc,0
showclix,1
zoomin,1
excellence-engineering,0
databanq,0
groundwork-open-source,0
warstuff,0
ingrid,1
gauto,0
ambient-corporation,1
istar,0
delivery-club,1
wayfair,1
dinomarket,0
skc-communications,0
ezprints-com,0
socialmedia305,0
gfi,0
kapow-technologies,1
shellfire,0
cadence-bancorp,0
efans,0
eventials,0
3dsoc,0
venmo,1
graphene-technologies,0
aframe-digital,0
finisar,1
bensata,0
oberon-media,1
brain-parade,0
ecolibrium,0
lumedyne-technologies,0
adwo-media-holdings,0
socialbuy,0
lili---beauty,0
1-800-dentist,0
dream-dinners,0
24-7-customer,0
acylin-therapeutics,0
binary-fountain,0
zero-motorcycles,1
aricent,0
couverts,0
tuenti-technologies,1
connectquest,1
ezono,0
sambasafety,0
netpulse,1
healthcentral,1
publishthis,0
computer-software-innovations,0
loudclick,0
cofluent-design,1
roundpegg,1
divorce360,1
grupo-a,0
accipiter-systems,1
maya-medical,1
orbitremit-global-money-transfer,0
searchforce,0
wsi-onlinebiz,0
mutebutton,0
cellixis,1
cloudshare,0
yozons,0
cordium-links-llc,0
adama-materials,1
systemsnet,0
exozet,0
inversiones-com,0
global-wine-export,0
tascet,0
diogenix,0
jazio,0
parsley-energy,0
well-ca,1
caribou-coffee-company,1
bayhill-therapeutics,0
whatclinic-com,0
aramsco,1
relmada-therapeutics,1
santaro-interactive-entertainment-stie,0
keystone-heart,0
do-it-developers,0
innopad,1
vimagino,0
momail,0
ateeda,0
data-connect-corporation,0
roqbot,0
armgo-pharma-inc,0
x2-biosystems,1
f4f-pr,0
dq-entertainment,0
liquid-x,0
social-guides,0
bolt-threads,0
adaptive-advertising-inc,0
socialengine,1
verisilicon-holdings,1
promax-nutrition,0
140-proof,0
echogen-power-systems,0
regulatory-datacorp,0
orpheus-gmbh,0
extreme-fliers,0
minutebuzz,0
strangelogic,0
pocket-communications-northeast,0
shanon,0
shanghai-smartpay,0
healthiest-employer,0
envirosystems-inc,1
topspin-communications,1
savaari-car-rentals,0
emeter,1
envisage-technologies,0
andalyze,1
graceful-tables,0
people-capital,0
taxsutra,0
shiny-ads,1
kcf-technologies-inc,0
ensogo,1
fabric7-systems,0
cenzic,1
rebounces,0
msquemdicos,0
scalable-informatics,0
expan,0
simplivt,0
brecis-communication,0
akaaki,0
mobileaware,0
fabrika-online,0
ramamia,0
eurus-energy-holdings,0
kalistick,1
bahamaslocal-com,0
ceyx,0
citytherapy,1
itsalat-international,0
player-x,0
360imaging,0
kinamu-business-solutions,0
cytonics,0
full-capture-solutions,0
utility-associates,0
achala,0
ocelus,0
touchmedia,1
a-suite-salon,0
paradigm-energy-group,0
postpath,1
nukotoys,0
tickled-media-pte-ltd,0
telecommunication-systems,1
sirakoss,0
crossfirst-bank,0
vindicia,1
rule-fm,1
textunes,1
restlet,0
one-loyalty-network,0
blurtt,0
manta,0
whiteglove-house-call-health,0
tuan800,0
openq,0
entrecard,1
watchfinder,0
schoolout,0
microfabrica,0
staila-technologies,0
afreeze,0
biocrates-life-sciences,0
circlelink-health,0
flash-networks,0
invino,0
targegen,1
shompton,0
psykosoft,0
mogad,1
valon-lasers,0
globalserve,0
videoiq,1
cfares,0
pointcare,0
cubicl,0
bethererewards,0
for-arts-sake-media,0
smarthabitat,0
expensify-com,1
bridesandlovers-com,0
oktogo-ru,1
ad-summos,0
eseye,0
digicompanion,0
bottomline-technologies,1
kerecis,1
vizibility,1
king-lizzy-creative,0
eti-international,1
wunderlich-securities,0
shopkick,1
printeco,1
lost-property-heaven,0
health-integrated,1
smart-ad-2,0
huffingtonpost,1
vendavo,1
terra-tech,0
network-merchants,0
payvment,1
wordlock,1
smart-flour-foods,0
klout,1
n2v-solutions-llc,0
dextr,0
quickcomm-software-solutions,0
redzone-robotics,1
magme,0
satiety,0
shanda-games,1
small-world-financial-services-group,0
optimus,0
keynote,0
renewal-technologies,0
clear-guide-medical,0
digitalglobe,1
chukong-technologies,1
community-peace-developers-inc,0
chickrx,0
novafora,0
immunophotonics,1
memsic,1
accelops,0
tipcity,0
lightsquared,0
vonage,1
pagescience,0
the-movie-studio,0
empyrean-benefit-solutions,0
sansan,1
crossroads-systems,1
abbey-pharma,0
trendyol,0
cloudmach,0
ihealth-lab-inc,0
intent,0
theravance,1
wortal,0
alchemyapi,1
electronic-compliance-solutions,0
icondial,1
basys,0
centice,1
ohloh,1
calibrus,0
milibris,0
gráfica-en-línea,0
leapfactor,0
99taojin-com,0
stellaris,0
envestnet,1
startups-in,0
viacor,0
astro-ape,1
edinburgh-robotics,0
77-pieces,0
easy-metrics,0
intrepid-bioinformatics,0
human-performance-integrated-systems,0
physicians-reference-laboratory,0
coguan-group,0
in-hand-guides,0
basicgov-systems,0
faves,1
gigantt,0
concerto-healthcare,0
citizens-rx,0
tailor-made-oil,0
scintella-solutions,0
gruppo-mutuionline,0
huaneng-renewables-corporation-limited,0
e-academy,0
linguee,0
zepass,0
affinion-group,0
cape-wind,0
prudent-energy,0
stratuscore,0
cobiscorp,0
adama-innovations,0
hybrid-security,0
applied-proteomics,0
barak-itc,0
bootstraplabs,0
rooster-teeth,1
carta-worldwide,0
arkayne,0
medical-joyworks,0
fatskunk,0
ac-moore-craft-store,1
therapeutic-proteins,0
integrity-applications,1
ip-access,1
akshay-wellness,0
demandpoint,0
airsis,0
tweetworks,0
terrapass,1
yume,1
binfire,0
seven-networks,0
evirx,0
dolor-technologies,0
advanced-circulatory,0
lithotripsy-of-northern-indiana,1
macrocure,1
barcol-air-usa,0
vuze,1
netdialog,0
caisson-laboratories,0
zafu-com,0
wanderfly,1
ironstar-helsinki,0
zinio,0
selvz,1
collectivemedia,1
radical-studios,0
inside-jobs,0
vistronix,0
trilliant,0
exajoule,0
aquinox-pharmaceuticals,1
capevo,0
savortex,0
crowdbooster,0
56-com,1
phasebio-pharmaceuticals,1
northcore-technologies,1
acon,0
mesoft,0
opensearchserver,0
filesx,1
the-highway-girl,0
roli,0
compareaway,0
efilecabinet,0
optoro,1
wikimart-ru,1
language123,0
backops,0
luckycal,1
orthobond,0
skillsurvey,0
navman,1
yottaa,1
dealertrack,1
datadog,1
intellihot-green-technologies,0
lanx,1
teamsupport,0
performance-horizon-group,1
jostle,0
fluidinfo,0
norm,0
kilimanjaro-energy,0
hygeia-personal-care-products,0
alc-holdings,0
uievolution,1
seachange-international,1
dynamixyz,0
calico-energy-services,0
cme,0
machinima,1
buffer,0
campuslive,1
singularity-university,0
the-guild,0
frs,1
p3-new-media,0
hipway,0
scion-cardio-vascular,0
tengaged,0
pptv,1
imprimis-pharmaceuticals,1
fortress-risk-management,0
isirona,0
b2m-solutions,0
black-swan-energy,0
berg-cloud,0
mozoo,0
mediamachines,0
mobilepeak,0
vyou,0
cubictelecom,1
liebo,0
pure-digital-technologies,1
blue-fin-japanese-restaurant,0
wallerius,0
genus-oncology,0
awayfind,1
solta-medical,1
runa,1
simply-good-technologies,0
mobshop,0
koollearning,0
escalate,0
trax-technologies,1
infobizz,0
adea,1
pepper-4,0
key-travel,0
leukocare,0
opera-software,1
vaxcare,0
authentidate-holding,1
parkatmyhouse-com,0
inty,0
traitware,0
sangamo-biosciences,1
affinitas,0
zachary-prell,0
managed-methods,0
modumetal,1
skyway-software,0
cableorganizer-com,0
allin-corporation,1
auctionpal,0
texas-multicore-technologies,0
secure-computing,1
lookery,1
canvas-networks,0
nemedia,0
testplant,0
blue-frog-gaming,0
twitvid,1
apieron,1
realpage,1
spring-partners,0
capture-educational-consulting-services,0
decisive-bi,0
inland-empire-components,0
camsemi,1
innocutis,1
deep-identity,0
rivermeadow-software,1
viamericas,0
longboard-media,1
rhetorical-group-plc,1
power-assure,1
eka-systems,1
virtual-incision-corporation,1
exact-sciences,1
ppro-financial-ltd,0
deskgod,0
honk,1
authasas,0
ivaco-rolling-mills,0
kwiry,0
can-capital,1
summus-render-s-l,0
volunteerspot,0
la-renon,0
behavioral-recognition-systems,1
dotblu,0
play-more,0
filmmortal,0
webshoz,0
little-red-wagon-technologies,1
pyramid-analytics,0
twingly,0
seawind,0
drobo,1
tyratech,0
adapx,1
viridity-energy,0
wattbot,0
invitedhome,1
bango,1
telormedix,0
cirba-inc,1
eleven-biotherapeutics,1
freedom-meditech,1
adaptivity,1
waltop,0
nibirutech-limited,0
p2-science,1
greennote,1
visionary-mobile,0
absynth-biologics,0
university-of-hawaii,0
nervogrid,1
unityware-inc,0
automsoft,0
lilluxe,0
digital-signal,1
kno,1
frh-consumer-services,0
letmego,1
radlogics,0
kynogon,1
wizards-nation,0
the-library-bar-grille,0
searchme,1
sportpost-com,0
azuki,1
presdo,0
tracelink,1
nettle,0
xumii,1
sisaf,0
cinegif,0
wealth-x,0
generic-media,0
agencyport,1
viroxis,0
sprinklr,1
local-com,1
rentjuice,1
korea-investment-partners,0
social-media-simplified-llc,0
toksta,1
mdxhealth,0
clasemovil,0
zyomyx-inc,1
advanced-power-projects,0
pocket-gems,0
liilak,0
webroot,0
cybervision-text,0
china,0
accudraft,0
brainstage,0
epis,0
la-miu,0
webcollage,1
brightsource-energy,1
solidcore-systems,1
nimbuzz,1
synapsense,1
caredox,1
ftl-global-solutions,0
arkansas-genomics-llc,0
tile-financial,0
optireno,0
webradar,0
kurani-interactive,0
mariposa-biotechnology,0
afferent-pharmaceuticals,1
sangart,1
paramit-corporation,0
iteam,1
entone-technologies,0
endotronix,1
aptara,0
edsby,1
skyfuel,0
gamecrush,0
wego-com,0
togic-software,0
3v-transaction-services,1
gogold-resources,0
kynetx,0
cloudfind,1
timzon,0
pipelinedeals-com,0
akella,0
medical-simulation,0
saset-healthcare,0
dentaldoctors,0
okeyko,0
episerver,0
biofire-diagnostics,1
karitkarma,0
simpa-networks,0
bee-line-express-inc,0
food52,0
otomed-center,0
kld-energy-technologies,1
eno-information-technologies,0
e-logit-2,0
bluechilli,0
sterling-heights-dentist,0
isale-global,0
nobles-medical-technologies,0
fieldview-solutions,0
prixtel,0
birds-eye-systems,0
proretina-therapeutics,0
otoy,0
jobster,1
iosemantics,1
home-inventory-s-pecialists-llc,0
firstplay,0
sonendo,1
fk-biotecnologia,0
xintec,0
typekit,1
orcam-technologies,0
fyndiq,0
clearcube,0
xiami-radio,0
express-inn-hotel,0
claytonstress-com,0
ambri,0
tail-f-systems,1
believedigital,0
volpara-solutions,0
cellumen,0
capeco,0
zwipe,0
medialets,1
simplivity,1
betuknow,0
relatient,0
aegis-lightwave,1
bstock-solutions,0
svelte-medical-systems,1
loud3r,0
resort-gems,0
m-d-antiques-consignment,0
acid-labs,0
asset-international,1
alto-limited,0
learn-something,1
casterstats,1
motor2,0
iquartic,0
nebuad,0
castlight-health,1
bloson,0
i2we,0
recondo,0
microemissive-displays-group,1
bijk-com,0
funkedup,0
i-tv,0
sitebrand,1
clacendix,1
flogs-com,0
signpath-pharma,0
panatlanta-llc,0
bancabc,0
turnip-truck-ii,0
8aweek,0
aaron-andrews-apparel,0
innovatient-solutions,1
hydra-dx,0
memberconnection,0
ipercast,0
carzen,1
acousticeye,1
plc-diagnostics,0
bondora,1
360learning,0
zep-solar,1
daily-grommet,1
surfwax-media,0
amrit-advanced-biotech,0
yetu,0
optimedica,1
infrasearch,0
berggi,0
amatra-smartsource,0
satmex,1
yashi,1
konkura,0
theraphysics-corporation,0
destinator-technologies,0
iposi,0
servicerelated,0
eutechnyx,0
factonomy,0
amresorts,0
keyflow,0
edgewave-inc,1
comcast,1
datranmedia,0
xianguo,0
thru-inc,1
ecosense-lighting,1
goom-radio,0
ability-network,1
mersive,1
divergence,1
browster,0
openx,1
la-reunion-virtuelle,0
mobile-sorcery,0
amsc,1
emergency-service-partners,0
engana-pty,0
vinivi,0
nordicplan,0
covenant-kids-manor-inc,0
isango,0
mashworx,0
exadigm,0
star-stable-entertainment-ab,0
intio,0
organica-water,0
versly,1
edge-music-network,0
aircuity,1
giving-gets-results,0
millican,0
lumension,0
xagenic,1
isend-llc,0
attassa,1
document-depository-corporation,0
ntr-global,1
xo-group,1
rondebosch,0
silicon-republic,0
displaylink,1
bleachers,0
newsit,0
valuescope,0
kinkast,0
alchemia-oncology,0
bridgeport-networks,1
challenge-games,1
buzzvote,0
brilig,0
mobile-xl,0
all-copy-products,0
mosa-records,0
n12-technologies,0
checkmarx,0
lsa-sports,0
informeddna,1
social-growth-technologies,0
demantra,1
your-policy-manager,0
tampa-bay-wave,0
ucdplus,0
giritech,0
aquafadas,1
twof,0
orchestrate-orthodontic-technologies,0
lambda-solutions,0
molplex,0
consero-global-solution,0
access-integrated-healthcare,0
pinnacle-engines,0
mapr-technologies,1
antriabio,1
triggerfish-animation-studios,0
enertec-systems,0
imagitive-gmbh,0
padproof,0
modelinia,0
oxitec,1
unifysquare,1
securus,1
synchronica,1
visiblebrands,1
who-can-fix-my-car,0
policystat,0
cazoodle,0
icb-international,0
monsoon-commerce,1
covia-labs,0
precursor-energetics,1
musicxray,0
dealtraction,0
delve-networks,1
paradox-technology-solutions,0
soa-software,0
chanticleer-holdings,1
turbo-trac-usa,0
zipscene,1
omniox,0
simply-easier-payments,0
jasper-design-automation,1
icinetic,0
iobridge,0
bragster,1
vindico-pharmaceuticals,0
boston-technologies,0
intellistream,0
open-environment-corporation,0
aw-energy,0
shanghai-fft,0
winchannel,0
crocodile-gold,1
code-green-networks,1
china-f-b,0
avvasi-inc,0
accion-texas,0
gydget,1
direct-trade-coffee-club,0
unigo,1
4blox,0
functional-neuromodulation,0
boozt-fashion,0
presenternet,0
shocking-technologies,1
omprompt,0
begel-systems,0
zipments,1
aws-electronics,0
kriser-s-natural,0
lyyn,0
testroom-gmbh,0
mobilygen,0
hotspur-technologies,1
coull,0
crisp-wireless,0
sparkbase,1
everlater,1
lecturio,1
lynxit-solutions,0
smallable,0
silex-microsystems,0
cardoz,0
visys,1
wer-liefert-was,1
visedo,0
one-source-networks,1
gatr-technologies,0
urban-metrics,0
granite-horizon,0
emma,0
shazam-entertainment,1
bottlenose,1
common-curriculum,0
equity-administration-solutions,0
takealot-com,1
meraki,1
awak,0
hybrid-electric-vehicle-technologies,0
gemvara,0
getfugu,0
cdi-computer-distribution-inc,0
prosper,1
accolade,1
pzoom,0
mnemosyne-pharmaceuticals,0
planettran,0
inovex-information-systems,0
hydrologex-llc,0
evereve,0
expert-medical-navigation,0
centage-corporation,0
guerillapps,0
help-systems,1
sieve,1
md-it,0
intec-pharma,1
tarpon-towers,0
skinphototextmatch-com,0
allegro-diagnostics,1
spo-medical,0
classiphix,0
pro-player-connect,0
arquo-technologies,0
openfinance,1
sundaysky,0
handipoints,1
knowledge-delivery-systems,1
moda-in-pelle,0
technimotion,0
islanddatacorporation,1
pixelport-networks,0
numedii,0
peela,0
eccentex-corporation,0
1calendar,0
mimoco,0
puppet-labs,1
one-touch-emr,0
rankur,0
neurologica,1
apperian,1
siklu,0
digital-media-broadcast,1
bluefin-payment-systems,0
book-of-odds-enterprises,0
fundsxpress-financial-network,0
wideorbit,1
azendoo,0
luristic,0
apogee-informatics,0
yunno,0
applied-optoelectronics-inc,1
talentpuzzle,0
omgpop,1
advasense,1
zennor-petroleum,0
jetsuite,0
growconnections,0
farmer-s-edge-laboratories,0
mywot-com,0
geosho,0
beautylish,0
alpinereplay,0
jobspice,0
jiangsu-sanhuan-industrial-group,0
alphasights,0
deal-united,0
multipop,0
10bestthings,0
tales2go,0
posterous,1
onavo,1
spideroak,0
unbound-technologies,0
crichq,1
yahoo,1
piaochong-com,0
convo-communications,0
avdirect,0
transnet,0
trutouch-technologies,1
playnatic-entertainment,0
railrunner,0
color-labs,1
ipic-theaters,0
blogtv,1
alarm-com,1
neonova-network-services,0
arieso,1
swagbucks,0
conference-hound,1
cuponzote,1
phoenix-new-media,1
auctionpay,1
terrajoule,0
shareyourbrain,0
core-oncology,0
sticher,0
exerscrip,0
hatsize,0
tissuelab,0
bragg-peak-systems,0
pixability,1
door,0
whoisedi,0
key-research,0
dailystrength,1
carnegie-robotics,0
ocz-technology,1
constantcommerce,1
trendlines-group,0
miselu-inc,0
perlegen-sciences,0
alignmed,0
yeelion,0
pocketvillage,0
peg-bandwidth,0
unsubscribe-com,1
spoonflower,0
botem,0
joules-clothing,0
kemojo-trucking,0
bitpass,0
q-care-international,0
youcastr,1
new-media-education-ltd,0
idera-pharmaceuticals,1
web-geo-services,0
osisoft,0
wavii,1
apriva,0
polyera,1
community-fuels,0
astamuse-company-ltd,0
mmis,0
catalyst-international,1
fastscaletechnology,1
sassor,0
factual,0
zyngenia,0
compass,1
taskforce,0
dogster,1
next-co,1
agentec,0
arcterus,0
filmaster,1
clean-filtration-technology,0
reds-all-natural,0
fairsoftware,0
insideview,1
ruby-receptionists,0
gociety,0
bccthis,0
novalux,0
remedi-seniorcare-pharmacy,0
socialpicks,1
ibtgames,0
motribe,1
shopwell,1
overflow-cafe,0
crowdcomputing-systems,0
gupshup-technology-india-pvt-ltd,0
xiami-music-network,0
comverging-technologies,0
united-information-technology,0
cardiofocus,1
trusteer,1
nazara-technologies,0
venturebeat,1
mebeam,1
pex-card,1
icagen,1
tatil-sepeti,0
motherknows,0
progression,0
vertical-communications-2,1
chongqing-mengxun-electronic-technology-co-ltd,0
wireless-safety,0
neomobile,0
counsyl,1
viclone,1
miwi-fi-net,0
platform-solutions,1
y-klub,0
ivinci-partners,0
5o9,0
del-palma-orthopedics,0
yodlee,1
sayswap,0
jumptime,1
99times-cn,0
zolo-technologies,0
travelusion,0
airpatrol-corporation,1
mobilitie,0
heliovolt,1
people-operating-technology,0
peerius,0
cve-group,0
scanntech,0
augustus-energy-partners,0
zeakal,0
ninite,0
cymbet,1
on2,1
go2call-com,1
eso-technologies,0
winshuttle,0
mygistics,0
jammin-java,0
iterasi,0
rally-software,1
athena-design-systems,0
ctb-group,0
autoloader-gmbh-2,0
delta-data-software,0
voya-ge,0
arkadin,0
insideaxis-2,0
getaround,1
plusgrade,0
endo-tools-therapeutics,0
article-one-partners,0
audanika,0
cartesian,0
thefix-com,0
viveve,0
middlegate,0
tangler,0
gilupi,0
optimitive,0
cooolio-online,0
fortisphere,0
wuxi-qiaolian-wind-power-technology,0
popularo,0
fugen-solutions,1
softwarecellularnetwork,0
brandtone,0
jam-technologies,0
soundcloud,1
guardianedge-technologies,1
socloz,0
freshfetch-pet-foods,0
paybymobile,0
sente-inc,1
parsely,1
mc10,1
posterbee,0
br-supply,0
software-technology,0
arago-ag,0
ati-physical-therapy,0
dynamics-direct,1
rewardme,0
bueeno,0
geoli-st,0
mom-trusted,0
trust-digital,1
aquamobile,0
lugiron-software,0
depaul-uk,0
insignia-health,0
venture-med-group,0
cytomics-pharmaceuticals,0
shotfarm,0
omni-3,0
providence-surgery,0
efficas,0
metrixlab,1
calastone,0
conga-2,0
anyvite,0
pilot-systems,0
celonova,0
balerin-com,0
moncv-com,0
tabletkiosk,0
forticom,0
medicanimal-com,0
algisys,0
fixstars,0
octoscope,0
engagepoint,0
cancer-prevention-pharmaceuticals,0
wizishop,0
crave-com,0
navmii,0
cavium-networks,1
flexcom,0
school-innovations-achievement,0
great-basin-corporation,1
dynadec,0
scality,1
youcalc,1
loop-trolley,0
adealio,0
lucid-commerce,1
vida-software,0
iken-solutions,0
magnetic,1
chinacars,0
adready,1
axismobile,1
flasma,0
tri-medics,0
ndreams,0
best-money-decisions,0
cellworks,0
drivestream,0
genius-com,1
arcmail,1
pivot,1
disconnect,0
hidden-city-games,0
tribalx,0
forefront-education,0
transatomic-power-corporation,0
stargen,0
botanical-tans,0
locr,0
clearmomentum,1
webvet,1
silicon-line,0
scoregrid,0
tesorx-pharma,1
delphi-optics-gmbh,0
camras-vision,0
textura,1
mwm-media-workflow-management,0
texert,0
audiodraft,0
the-climate-corporation,1
victor,1
nsl-renewable-power,0
spanfeller-media-group,1
